3:114 -> K: 21 | acc: 52.800000000000004
3:115 -> K: 24 | acc: 53.6
3:116 -> K: 24 | acc: 55.2
3:117 -> K: 24 | acc: 54.400000000000006
3:118 -> K: 24 | acc: 55.2
3:119 -> K: 23 | acc: 53.6
3:120 -> K: 23 | acc: 55.2
3:121 -> K: 21 | acc: 56.8
3:122 -> K: 21 | acc: 57.599999999999994
3:123 -> K: 21 | acc: 58.4
3:124 -> K: 22 | acc: 56.8
3:125 -> K: 23 | acc: 57.599999999999994
3:126 -> K: 20 | acc: 56.8
3:127 -> K: 21 | acc: 56.00000000000001
3:128 -> K: 22 | acc: 56.8
3:129 -> K: 22 | acc: 55.2
3:130 -> K: 22 | acc: 57.599999999999994
3:131 -> K: 23 | acc: 56.00000000000001
3:132 -> K: 22 | acc: 55.2
3:133 -> K: 22 | acc: 56.00000000000001
3:134 -> K: 22 | acc: 56.8
3:135 -> K: 22 | acc: 56.00000000000001
3:136 -> K: 22 | acc: 56.00000000000001
3:137 -> K: 24 | acc: 56.00000000000001
3:138 -> K: 22 | acc: 55.2
3:139 -> K: 23 | acc: 58.4
3:140 -> K: 23 | acc: 58.4
3:141 -> K: 24 | acc: 58.4
3:142 -> K: 22 | acc: 56.00000000000001
3:143 -> K: 22 | acc: 53.6
3:144 -> K: 22 | acc: 55.2
3:145 -> K: 21 | acc: 53.6
3:146 -> K: 20 | acc: 53.6
3:147 -> K: 22 | acc: 55.2
3:148 -> K: 23 | acc: 57.599999999999994
3:149 -> K: 23 | acc: 56.8
3:150 -> K: 23 | acc: 55.2
3:151 -> K: 22 | acc: 53.6
3:152 -> K: 23 | acc: 54.400000000000006
3:153 -> K: 23 | acc: 54.400000000000006
3:154 -> K: 24 | acc: 56.8
3:155 -> K: 24 | acc: 53.6
3:156 -> K: 23 | acc: 52.800000000000004
3:157 -> K: 24 | acc: 56.8
3:158 -> K: 23 | acc: 56.00000000000001
3:159 -> K: 23 | acc: 56.00000000000001
3:160 -> K: 23 | acc: 54.400000000000006
3:161 -> K: 24 | acc: 53.6
3:162 -> K: 23 | acc: 55.2
3:163 -> K: 24 | acc: 54.400000000000006
3:164 -> K: 24 | acc: 54.400000000000006
3:165 -> K: 24 | acc: 52.0
3:166 -> K: 23 | acc: 52.0
3:167 -> K: 23 | acc: 49.6
3:168 -> K: 23 | acc: 52.0
3:169 -> K: 23 | acc: 51.2
3:170 -> K: 24 | acc: 51.2
3:171 -> K: 24 | acc: 50.4
3:172 -> K: 23 | acc: 52.800000000000004
3:173 -> K: 23 | acc: 53.6
3:174 -> K: 22 | acc: 55.2
3:175 -> K: 22 | acc: 52.800000000000004
