2:151 -> K: 24 | acc: 41.6
2:152 -> K: 23 | acc: 43.2
2:153 -> K: 24 | acc: 40.0
2:154 -> K: 24 | acc: 39.2
2:155 -> K: 24 | acc: 41.6
2:156 -> K: 24 | acc: 39.2
2:157 -> K: 24 | acc: 39.2
2:158 -> K: 24 | acc: 37.6
2:159 -> K: 24 | acc: 40.0
2:160 -> K: 20 | acc: 38.4
2:161 -> K: 24 | acc: 39.2
2:162 -> K: 24 | acc: 38.4
2:163 -> K: 24 | acc: 41.6
2:164 -> K: 24 | acc: 42.4
2:165 -> K: 24 | acc: 38.4
2:166 -> K: 24 | acc: 38.4
2:167 -> K: 20 | acc: 39.2
2:168 -> K: 24 | acc: 40.0
2:169 -> K: 24 | acc: 40.0
2:170 -> K: 21 | acc: 39.2
2:171 -> K: 24 | acc: 37.6
2:172 -> K: 20 | acc: 37.6
2:173 -> K: 20 | acc: 39.2
2:174 -> K: 22 | acc: 40.0
2:175 -> K: 20 | acc: 39.2
2:176 -> K: 20 | acc: 36.8
2:177 -> K: 20 | acc: 37.6
2:178 -> K: 22 | acc: 36.8
2:179 -> K: 21 | acc: 36.8
2:180 -> K: 21 | acc: 36.0
2:181 -> K: 20 | acc: 33.6
2:182 -> K: 24 | acc: 35.199999999999996
2:183 -> K: 21 | acc: 35.199999999999996
2:184 -> K: 21 | acc: 33.6
2:185 -> K: 23 | acc: 34.4
2:186 -> K: 20 | acc: 34.4
2:187 -> K: 20 | acc: 37.6
2:188 -> K: 20 | acc: 35.199999999999996
2:189 -> K: 20 | acc: 33.6
2:190 -> K: 21 | acc: 36.0
2:191 -> K: 21 | acc: 35.199999999999996
2:192 -> K: 21 | acc: 36.0
2:193 -> K: 21 | acc: 35.199999999999996
2:194 -> K: 21 | acc: 36.0
2:195 -> K: 20 | acc: 35.199999999999996
2:196 -> K: 20 | acc: 35.199999999999996
2:197 -> K: 20 | acc: 33.6
2:198 -> K: 20 | acc: 35.199999999999996
2:199 -> K: 23 | acc: 36.8
2:200 -> K: 20 | acc: 36.0
2:201 -> K: 20 | acc: 33.6
2:202 -> K: 23 | acc: 35.199999999999996
2:203 -> K: 24 | acc: 37.6
2:204 -> K: 23 | acc: 34.4
2:205 -> K: 22 | acc: 33.6
2:206 -> K: 24 | acc: 35.199999999999996
2:207 -> K: 24 | acc: 35.199999999999996
2:208 -> K: 20 | acc: 35.199999999999996
2:209 -> K: 20 | acc: 34.4
2:210 -> K: 20 | acc: 36.0
2:211 -> K: 23 | acc: 35.199999999999996
2:212 -> K: 20 | acc: 36.8
2:213 -> K: 20 | acc: 36.0
2:214 -> K: 20 | acc: 36.8
2:215 -> K: 20 | acc: 37.6
2:216 -> K: 20 | acc: 37.6
2:217 -> K: 20 | acc: 36.8
2:218 -> K: 20 | acc: 36.8
2:219 -> K: 20 | acc: 36.8
2:220 -> K: 20 | acc: 36.0
2:221 -> K: 20 | acc: 36.0
2:222 -> K: 20 | acc: 36.0
2:223 -> K: 20 | acc: 36.0
2:224 -> K: 20 | acc: 36.0
