4:66 -> K: 20 | acc: 82.39999999999999
4:67 -> K: 21 | acc: 85.6
4:68 -> K: 20 | acc: 84.8
4:69 -> K: 20 | acc: 84.0
4:70 -> K: 22 | acc: 84.8
4:71 -> K: 20 | acc: 84.8
4:72 -> K: 20 | acc: 84.8
4:73 -> K: 20 | acc: 84.8
4:74 -> K: 21 | acc: 85.6
4:75 -> K: 21 | acc: 85.6
4:76 -> K: 21 | acc: 89.60000000000001
4:77 -> K: 23 | acc: 89.60000000000001
4:78 -> K: 23 | acc: 89.60000000000001
4:79 -> K: 24 | acc: 88.8
4:80 -> K: 23 | acc: 88.8
4:81 -> K: 20 | acc: 88.0
4:82 -> K: 22 | acc: 88.8
4:83 -> K: 23 | acc: 89.60000000000001
4:84 -> K: 20 | acc: 89.60000000000001
4:85 -> K: 22 | acc: 91.2
4:86 -> K: 20 | acc: 90.4
4:87 -> K: 22 | acc: 92.0
4:88 -> K: 21 | acc: 92.0
4:89 -> K: 20 | acc: 92.0
4:90 -> K: 20 | acc: 92.0
4:91 -> K: 21 | acc: 92.0
4:92 -> K: 20 | acc: 92.0
4:93 -> K: 21 | acc: 92.80000000000001
4:94 -> K: 20 | acc: 92.0
4:95 -> K: 20 | acc: 92.80000000000001
4:96 -> K: 20 | acc: 92.0
4:97 -> K: 20 | acc: 92.0
4:98 -> K: 20 | acc: 91.2
4:99 -> K: 20 | acc: 91.2
4:100 -> K: 21 | acc: 92.0
4:101 -> K: 21 | acc: 92.0
4:102 -> K: 21 | acc: 92.80000000000001
4:103 -> K: 21 | acc: 92.0
4:104 -> K: 21 | acc: 91.2
4:105 -> K: 20 | acc: 91.2
4:106 -> K: 21 | acc: 92.0
4:107 -> K: 22 | acc: 90.4
4:108 -> K: 21 | acc: 90.4
4:109 -> K: 23 | acc: 91.2
4:110 -> K: 21 | acc: 90.4
4:111 -> K: 21 | acc: 90.4
4:112 -> K: 21 | acc: 91.2
4:113 -> K: 20 | acc: 92.0
4:114 -> K: 20 | acc: 91.2
4:115 -> K: 20 | acc: 92.0
4:116 -> K: 20 | acc: 92.0
4:117 -> K: 20 | acc: 92.0
4:118 -> K: 20 | acc: 92.0
4:119 -> K: 20 | acc: 91.2
4:120 -> K: 20 | acc: 91.2
4:121 -> K: 20 | acc: 91.2
4:122 -> K: 20 | acc: 91.2
4:123 -> K: 20 | acc: 91.2
4:124 -> K: 20 | acc: 91.2
4:125 -> K: 21 | acc: 91.2
4:126 -> K: 20 | acc: 90.4
4:127 -> K: 20 | acc: 91.2
4:128 -> K: 20 | acc: 91.2
4:129 -> K: 20 | acc: 91.2
4:130 -> K: 20 | acc: 92.0
4:131 -> K: 20 | acc: 92.0
4:132 -> K: 20 | acc: 91.2
4:133 -> K: 20 | acc: 92.0
4:134 -> K: 20 | acc: 92.0
4:135 -> K: 20 | acc: 92.80000000000001
4:136 -> K: 20 | acc: 92.80000000000001
4:137 -> K: 20 | acc: 92.80000000000001
4:138 -> K: 20 | acc: 92.80000000000001
4:139 -> K: 20 | acc: 92.80000000000001
4:140 -> K: 20 | acc: 92.80000000000001
4:141 -> K: 21 | acc: 92.80000000000001
4:142 -> K: 21 | acc: 92.80000000000001
4:143 -> K: 20 | acc: 92.80000000000001
4:144 -> K: 20 | acc: 93.60000000000001
4:145 -> K: 20 | acc: 93.60000000000001
4:146 -> K: 21 | acc: 93.60000000000001
4:147 -> K: 20 | acc: 93.60000000000001
4:148 -> K: 20 | acc: 93.60000000000001
4:149 -> K: 21 | acc: 93.60000000000001
4:150 -> K: 21 | acc: 93.60000000000001
4:151 -> K: 21 | acc: 93.60000000000001
4:152 -> K: 21 | acc: 93.60000000000001
4:153 -> K: 21 | acc: 93.60000000000001
4:154 -> K: 21 | acc: 93.60000000000001
5:65 -> K: 20 | acc: 84.0
5:66 -> K: 21 | acc: 84.8
5:67 -> K: 24 | acc: 84.0
5:68 -> K: 21 | acc: 85.6
5:69 -> K: 20 | acc: 86.4
5:70 -> K: 20 | acc: 86.4
5:71 -> K: 20 | acc: 86.4
5:72 -> K: 20 | acc: 84.8
5:73 -> K: 21 | acc: 86.4
5:74 -> K: 20 | acc: 86.4
5:75 -> K: 20 | acc: 85.6
5:76 -> K: 20 | acc: 89.60000000000001
5:77 -> K: 20 | acc: 91.2
5:78 -> K: 20 | acc: 90.4
5:79 -> K: 21 | acc: 90.4
5:80 -> K: 21 | acc: 90.4
5:81 -> K: 23 | acc: 90.4
5:82 -> K: 20 | acc: 90.4
5:83 -> K: 20 | acc: 89.60000000000001
5:84 -> K: 23 | acc: 90.4
5:85 -> K: 23 | acc: 91.2
5:86 -> K: 20 | acc: 92.0
5:87 -> K: 20 | acc: 92.80000000000001
5:88 -> K: 23 | acc: 92.80000000000001
5:89 -> K: 20 | acc: 93.60000000000001
5:90 -> K: 21 | acc: 92.0
5:91 -> K: 20 | acc: 92.0
5:92 -> K: 20 | acc: 92.80000000000001
5:93 -> K: 20 | acc: 92.80000000000001
5:94 -> K: 20 | acc: 92.0
5:95 -> K: 20 | acc: 92.80000000000001
5:96 -> K: 20 | acc: 92.0
5:97 -> K: 20 | acc: 92.80000000000001
5:98 -> K: 20 | acc: 93.60000000000001
5:99 -> K: 21 | acc: 92.80000000000001
5:100 -> K: 20 | acc: 93.60000000000001
5:101 -> K: 20 | acc: 95.19999999999999
5:102 -> K: 24 | acc: 93.60000000000001
5:103 -> K: 20 | acc: 92.0
5:104 -> K: 20 | acc: 92.80000000000001
5:105 -> K: 21 | acc: 92.0
5:106 -> K: 20 | acc: 92.80000000000001
5:107 -> K: 20 | acc: 92.80000000000001
5:108 -> K: 20 | acc: 92.80000000000001
5:109 -> K: 20 | acc: 92.80000000000001
5:110 -> K: 20 | acc: 94.39999999999999
5:111 -> K: 20 | acc: 94.39999999999999
5:112 -> K: 20 | acc: 93.60000000000001
5:113 -> K: 20 | acc: 92.80000000000001
5:114 -> K: 20 | acc: 92.0
5:115 -> K: 20 | acc: 91.2
5:116 -> K: 20 | acc: 92.0
5:117 -> K: 20 | acc: 93.60000000000001
5:118 -> K: 20 | acc: 93.60000000000001
5:119 -> K: 20 | acc: 93.60000000000001
5:120 -> K: 20 | acc: 93.60000000000001
5:121 -> K: 20 | acc: 92.80000000000001
5:122 -> K: 20 | acc: 92.80000000000001
5:123 -> K: 20 | acc: 92.80000000000001
5:124 -> K: 20 | acc: 92.80000000000001
5:125 -> K: 20 | acc: 92.80000000000001
5:126 -> K: 20 | acc: 92.80000000000001
5:127 -> K: 20 | acc: 92.80000000000001
5:128 -> K: 20 | acc: 93.60000000000001
5:129 -> K: 20 | acc: 93.60000000000001
5:130 -> K: 20 | acc: 94.39999999999999
5:131 -> K: 20 | acc: 94.39999999999999
5:132 -> K: 20 | acc: 94.39999999999999
5:133 -> K: 20 | acc: 94.39999999999999
5:134 -> K: 20 | acc: 94.39999999999999
5:135 -> K: 20 | acc: 94.39999999999999
5:136 -> K: 20 | acc: 93.60000000000001
5:137 -> K: 20 | acc: 93.60000000000001
