2:132 -> K: 20 | acc: 56.00000000000001
2:133 -> K: 20 | acc: 56.8
2:134 -> K: 20 | acc: 56.00000000000001
2:135 -> K: 20 | acc: 57.599999999999994
2:136 -> K: 20 | acc: 57.599999999999994
2:137 -> K: 21 | acc: 58.4
2:138 -> K: 20 | acc: 56.8
2:139 -> K: 20 | acc: 56.00000000000001
2:140 -> K: 21 | acc: 56.8
2:141 -> K: 20 | acc: 54.400000000000006
2:142 -> K: 20 | acc: 55.2
2:143 -> K: 23 | acc: 56.00000000000001
2:144 -> K: 20 | acc: 55.2
2:145 -> K: 21 | acc: 55.2
2:146 -> K: 23 | acc: 56.00000000000001
2:147 -> K: 23 | acc: 56.00000000000001
2:148 -> K: 23 | acc: 56.00000000000001
2:149 -> K: 20 | acc: 56.00000000000001
2:150 -> K: 20 | acc: 54.400000000000006
2:151 -> K: 22 | acc: 56.00000000000001
2:152 -> K: 22 | acc: 56.8
2:153 -> K: 22 | acc: 56.00000000000001
2:154 -> K: 22 | acc: 56.00000000000001
2:155 -> K: 22 | acc: 56.8
2:156 -> K: 22 | acc: 56.8
2:157 -> K: 21 | acc: 56.8
2:158 -> K: 21 | acc: 55.2
2:159 -> K: 22 | acc: 54.400000000000006
2:160 -> K: 21 | acc: 54.400000000000006
2:161 -> K: 21 | acc: 54.400000000000006
2:162 -> K: 22 | acc: 54.400000000000006
2:163 -> K: 22 | acc: 54.400000000000006
2:164 -> K: 22 | acc: 54.400000000000006
2:165 -> K: 22 | acc: 53.6
2:166 -> K: 22 | acc: 53.6
2:167 -> K: 22 | acc: 54.400000000000006
2:168 -> K: 23 | acc: 54.400000000000006
2:169 -> K: 22 | acc: 55.2
2:170 -> K: 22 | acc: 55.2
2:171 -> K: 22 | acc: 54.400000000000006
2:172 -> K: 22 | acc: 54.400000000000006
2:173 -> K: 22 | acc: 54.400000000000006
2:174 -> K: 22 | acc: 53.6
2:175 -> K: 22 | acc: 53.6
